intensity_PW_cm2,event_class,PC,z_fraction_of_loading_norm,abs_dot_e0_collective,abs_dot_e1_p2_minus_p3,abs_dot_e2_pair23_vs_p4
1.0,all,PC1,0.9964753630866958,0.9999837366343123,0.0054758870657440895,0.0015940915036442016
1.0,all,PC8,0.998564477429346,0.005949431906934977,0.8174097653886803,0.5760259366618898
1.0,all,PC9,0.9960586178185538,0.0013898303299160752,0.5770807632742205,0.816685901084681
1.0,delayed,PC1,0.986609227261854,0.9981331410188481,0.019552693014935063,0.057861256430468244
1.0,delayed,PC8,0.9678878336707889,0.02854387900744368,0.9880747102040315,0.15130635818242197
1.0,delayed,PC9,0.9796062664985808,0.05526761162937255,0.14397455127689437,0.9880368513822761
1.0,direct,PC1,0.9963013681014178,0.9999842975891877,0.001740954783590376,0.005326692360250795
1.0,direct,PC8,0.999291076840502,0.004792007848988977,0.16522943642068105,0.9862435145545341
1.0,direct,PC9,0.9995679250879408,0.0026018881831713636,0.9862695180783752,0.16512319003499104
1.3,all,PC1,0.9996671334470001,0.999984936252939,0.0016348322755775357,0.005239712839115507
1.3,all,PC8,0.9997975060366171,0.0023819066543949163,0.9889696510893335,0.14809914160767934
1.3,all,PC9,0.9996375778439075,0.00509885944775218,0.14789419093503864,0.988990045409964
1.3,delayed,PC1,0.9978267286569666,0.9978050812063531,0.010123260848870552,0.06544111481759107
1.3,delayed,PC8,0.9833212577678291,0.014881384218731426,0.9983211787436199,0.05597649931608068
1.3,delayed,PC9,0.9992031638885359,0.06525197235923968,0.054981019189231206,0.9963529834512177
1.3,direct,PC1,0.9996777047386131,0.9999733569649635,0.0006585521204521272,0.007269915358981693
1.3,direct,PC8,0.9997138059257386,0.007168328277370017,0.042185792032582325,0.999084067544014
1.3,direct,PC9,0.9997688102627825,0.0009320120238301838,0.9991002224329226,0.04240137837466633
1.6,all,PC1,0.9983986351701293,0.9999898859235805,0.00018009062142204657,0.004493953483601598
1.6,all,PC8,0.9998142257973487,0.00017493395444707297,0.9999005394758307,0.014102501694875287
1.6,all,PC9,0.9996023018753375,0.004638194895444814,0.014213169908309453,0.999888230228394
1.6,delayed,PC1,0.9968725247153198,0.997573730791192,0.0018678936682250402,0.06959283446294429
1.6,delayed,PC8,0.9904575532976497,0.003750922185017413,0.9999028068786581,0.0134278583155674
1.6,delayed,PC9,0.9987030405768195,0.0686898711728326,0.011247023747389506,0.9975746618950811
1.6,direct,PC1,0.99821409422147,0.999934430621698,8.498530740608246e-05,0.011451080069528052
1.6,direct,PC8,0.9996106831134515,0.010945965411835179,0.0026869602193301256,0.9999364810256612
1.6,direct,PC9,0.9999445071883892,1.665688350863245e-05,0.9999966100791374,0.0026037574352742177
1.7,all,PC1,0.9987239149576003,0.9999497324181967,0.0037799424476357424,0.009286800949183383
1.7,all,PC8,0.9982723171684807,0.00542751036862367,0.9838416911417467,0.1789582881638801
1.7,all,PC9,0.9986426882371595,0.008363557416114942,0.1791897775528893,0.9837789764616307
1.7,delayed,PC1,0.996202453292285,0.9962230076178167,0.008290980553356198,0.08643482362089672
1.7,delayed,PC8,0.8993883682294171,0.012104929279607785,0.9987595630887955,0.04829912862375116
1.7,delayed,PC9,0.9942180474008486,0.08550266015456154,0.035662767593969746,0.9956994838373836
1.7,direct,PC1,0.9959471045636277,0.9999449244491483,2.6988760492729913e-05,0.010495110289762355
1.7,direct,PC8,0.9992822110104224,0.010438158278968879,0.00045820746652286415,0.9999454159591219
1.7,direct,PC9,0.9994671061966347,0.0005034076556977731,0.9999994307457432,0.0009407916463473514
