intensity_PW_cm2,event_class,PC,explained_variance_ratio,cumulative_explained_variance
1.0,all,PC1,0.23925673383852444,0.23925673383852444
1.0,all,PC2,0.12472760093881699,0.36398433477734143
1.0,all,PC3,0.120407873404122,0.48439220818146345
1.0,all,PC4,0.1164097423544367,0.6008019505359001
1.0,all,PC5,0.111202595858057,0.7120045463939572
1.0,all,PC6,0.09755099666394836,0.8095555430579056
1.0,all,PC7,0.09627135467995684,0.9058268977378624
1.0,all,PC8,0.04874266895194956,0.954569566689812
1.0,all,PC9,0.04543043331018816,1.0000000000000002
1.0,delayed,PC1,0.19208251021382836,0.19208251021382836
1.0,delayed,PC2,0.12369957519238563,0.315782085406214
1.0,delayed,PC3,0.12241946648863157,0.43820155189484555
1.0,delayed,PC4,0.116262768025579,0.5544643199204246
1.0,delayed,PC5,0.11163574632619262,0.6661000662466172
1.0,delayed,PC6,0.09789892792566343,0.7639989941722807
1.0,delayed,PC7,0.09575686450209127,0.859755858674372
1.0,delayed,PC8,0.08114379358612273,0.9408996522604947
1.0,delayed,PC9,0.05910034773950557,1.0000000000000002
1.0,direct,PC1,0.3002611378003528,0.3002611378003528
1.0,direct,PC2,0.13149849430452415,0.43175963210487694
1.0,direct,PC3,0.12060658559283949,0.5523662176977164
1.0,direct,PC4,0.11578809747830775,0.6681543151760242
1.0,direct,PC5,0.11048897265890946,0.7786432878349336
1.0,direct,PC6,0.0973657340158638,0.8760090218507974
1.0,direct,PC7,0.09034479841090029,0.9663538202616977
1.0,direct,PC8,0.019029938446676848,0.9853837587083746
1.0,direct,PC9,0.01461624129162539,1.0
1.3,all,PC1,0.24730218696408232,0.24730218696408232
1.3,all,PC2,0.12222775471647306,0.36952994168055536
1.3,all,PC3,0.12052577225676427,0.4900557139373196
1.3,all,PC4,0.11454292642193986,0.6045986403592595
1.3,all,PC5,0.111871452060879,0.7164700924201385
1.3,all,PC6,0.099191182207363,0.8156612746275015
1.3,all,PC7,0.09829862639438294,0.9139599010218844
1.3,all,PC8,0.04463514150406691,0.9585950425259513
1.3,all,PC9,0.04140495747404861,0.9999999999999999
1.3,delayed,PC1,0.19797297270554545,0.19797297270554545
1.3,delayed,PC2,0.120457045373891,0.31843001807943644
1.3,delayed,PC3,0.12022644736351722,0.43865646544295367
1.3,delayed,PC4,0.11423737823461072,0.5528938436775643
1.3,delayed,PC5,0.11242028893425005,0.6653141326118144
1.3,delayed,PC6,0.10040628670683173,0.7657204193186461
1.3,delayed,PC7,0.09913049270660838,0.8648509120252544
1.3,delayed,PC8,0.08107866938730443,0.9459295814125589
1.3,delayed,PC9,0.054070418587440924,0.9999999999999998
1.3,direct,PC1,0.2990226657730668,0.2990226657730668
1.3,direct,PC2,0.12604646909896097,0.4250691348720278
1.3,direct,PC3,0.12332794498288246,0.5483970798549103
1.3,direct,PC4,0.11460271475908336,0.6629997946139936
1.3,direct,PC5,0.11133555943569044,0.774335354049684
1.3,direct,PC6,0.09580112620969733,0.8701364802593814
1.3,direct,PC7,0.09553629982852282,0.9656727800879042
1.3,direct,PC8,0.020030286414414934,0.9857030665023192
1.3,direct,PC9,0.014296933497680938,1.0000000000000002
1.6,all,PC1,0.25029545910429696,0.25029545910429696
1.6,all,PC2,0.12462519761962902,0.374920656723926
1.6,all,PC3,0.12249310620079047,0.49741376292471645
1.6,all,PC4,0.11214674148922907,0.6095605044139455
1.6,all,PC5,0.11048445048422673,0.7200449548981722
1.6,all,PC6,0.09944528077093959,0.8194902356691118
1.6,all,PC7,0.09728960289308478,0.9167798385621966
1.6,all,PC8,0.042974641290701936,0.9597544798528985
1.6,all,PC9,0.04024552014710143,1.0
1.6,delayed,PC1,0.2012842872364825,0.2012842872364825
1.6,delayed,PC2,0.12567002873767905,0.3269543159741616
1.6,delayed,PC3,0.11951539422712135,0.4464697102012829
1.6,delayed,PC4,0.1130501361158985,0.5595198463171814
1.6,delayed,PC5,0.11070057229815383,0.6702204186153353
1.6,delayed,PC6,0.10009736264836035,0.7703177812636957
1.6,delayed,PC7,0.09760946824436674,0.8679272495080624
1.6,delayed,PC8,0.08098012469648963,0.9489073742045521
1.6,delayed,PC9,0.05109262579544806,1.0000000000000002
1.6,direct,PC1,0.29651941825082284,0.29651941825082284
1.6,direct,PC2,0.12963155427025214,0.426150972521075
1.6,direct,PC3,0.12567644308125103,0.551827415602326
1.6,direct,PC4,0.11193430003821221,0.6637617156405382
1.6,direct,PC5,0.10785177459419032,0.7716134902347285
1.6,direct,PC6,0.09652309585637048,0.868136586091099
1.6,direct,PC7,0.09476230503144675,0.9628988911225458
1.6,direct,PC8,0.02287760565950271,0.9857764967820485
1.6,direct,PC9,0.014223503217951364,0.9999999999999999
1.7,all,PC1,0.24241563184907614,0.24241563184907614
