intensity_PW_cm2,event_class,PC,explained_variance_ratio,cumulative_explained_variance
1.0,all,PC1,0.23925673383852444,0.23925673383852444
1.0,all,PC8,0.04874266895194956,0.954569566689812
1.0,all,PC9,0.04543043331018816,1.0000000000000002
1.0,delayed,PC1,0.19208251021382836,0.19208251021382836
1.0,delayed,PC8,0.08114379358612273,0.9408996522604947
1.0,delayed,PC9,0.05910034773950557,1.0000000000000002
1.0,direct,PC1,0.3002611378003528,0.3002611378003528
1.0,direct,PC8,0.019029938446676848,0.9853837587083746
1.0,direct,PC9,0.01461624129162539,1.0
1.3,all,PC1,0.24730218696408232,0.24730218696408232
1.3,all,PC8,0.04463514150406691,0.9585950425259513
1.3,all,PC9,0.04140495747404861,0.9999999999999999
1.3,delayed,PC1,0.19797297270554545,0.19797297270554545
1.3,delayed,PC8,0.08107866938730443,0.9459295814125589
1.3,delayed,PC9,0.054070418587440924,0.9999999999999998
1.3,direct,PC1,0.2990226657730668,0.2990226657730668
1.3,direct,PC8,0.020030286414414934,0.9857030665023192
1.3,direct,PC9,0.014296933497680938,1.0000000000000002
1.6,all,PC1,0.25029545910429696,0.25029545910429696
1.6,all,PC8,0.042974641290701936,0.9597544798528985
1.6,all,PC9,0.04024552014710143,1.0
1.6,delayed,PC1,0.2012842872364825,0.2012842872364825
1.6,delayed,PC8,0.08098012469648963,0.9489073742045521
1.6,delayed,PC9,0.05109262579544806,1.0000000000000002
1.6,direct,PC1,0.29651941825082284,0.29651941825082284
1.6,direct,PC8,0.02287760565950271,0.9857764967820485
1.6,direct,PC9,0.014223503217951364,0.9999999999999999
1.7,all,PC1,0.24241563184907614,0.24241563184907614
1.7,all,PC8,0.04824391356146768,0.9573383605291306
1.7,all,PC9,0.042661639470869483,1.0
1.7,delayed,PC1,0.1944791438210905,0.1944791438210905
1.7,delayed,PC8,0.08600300483063833,0.9484989557513235
1.7,delayed,PC9,0.051501044248676645,1.0000000000000002
1.7,direct,PC1,0.29669904480985476,0.29669904480985476
1.7,direct,PC8,0.02267715220641052,0.985402560941739
1.7,direct,PC9,0.01459743905826101,1.0
