intensity,event_class,pair,correlation
1.0,all,p2-p3,0.5705217540645245
1.0,all,p2-p4,0.5885580146860857
1.0,all,p3-p4,0.5651822492421352
1.0,delayed,p2-p3,0.2626885710572759
1.0,delayed,p2-p4,0.4284449788476001
1.0,delayed,p3-p4,0.3824262118483843
1.0,direct,p2-p3,0.8670570039271376
1.0,direct,p2-p4,0.8442060684399764
1.0,direct,p3-p4,0.8331107132143991
1.3,all,p2-p3,0.598775827712721
1.3,all,p2-p4,0.6159782784440546
1.3,all,p3-p4,0.6231525045080875
1.3,delayed,p2-p3,0.26763580364235373
1.3,delayed,p2-p4,0.4350299371940507
1.3,delayed,p3-p4,0.45880526807273986
1.3,direct,p2-p3,0.8710304143226139
1.3,direct,p2-p4,0.8303498172464242
1.3,direct,p3-p4,0.8344030478736117
1.6,all,p2-p3,0.6131361948108184
1.6,all,p2-p4,0.6317527247199282
1.6,all,p3-p4,0.6310555004786546
1.6,delayed,p2-p3,0.2694072699217174
1.6,delayed,p2-p4,0.46957445733612974
1.6,delayed,p3-p4,0.464743319825188
1.6,direct,p2-p3,0.8719396478607385
1.6,direct,p2-p4,0.8132101752735281
1.6,direct,p3-p4,0.8129868190003884
1.7,all,p2-p3,0.5665137176362468
1.7,all,p2-p4,0.6096200654295791
1.7,all,p3-p4,0.593940511383196
1.7,delayed,p2-p3,0.21371773900155083
1.7,delayed,p2-p4,0.45615278415606614
1.7,delayed,p3-p4,0.43708715561831135
1.7,direct,p2-p3,0.8681366450703845
1.7,direct,p2-p4,0.8129395239287875
1.7,direct,p3-p4,0.8137479663327059
