intensity,event_class,sign_sector,count,fraction
1.0,all,+++,1546,0.31732348111658454
1.0,all,++-,246,0.050492610837438424
1.0,all,+-+,303,0.062192118226600986
1.0,all,+--,306,0.06280788177339902
1.0,all,-++,286,0.05870279146141215
1.0,all,-+-,346,0.07101806239737274
1.0,all,--+,235,0.048234811165845645
1.0,all,---,1604,0.32922824302134646
1.0,delayed,+++,459,0.21888412017167383
1.0,delayed,++-,143,0.0681926561754888
1.0,delayed,+-+,210,0.10014306151645208
1.0,delayed,+--,209,0.09966618979494515
1.0,delayed,-++,194,0.09251311397234144
1.0,delayed,-+-,246,0.11731044349070101
1.0,delayed,--+,119,0.05674773485932284
1.0,delayed,---,517,0.24654268001907487
1.0,direct,+++,986,0.4828599412340842
1.0,direct,++-,7,0.0034280117531831538
1.0,direct,+-+,11,0.0053868756121449556
1.0,direct,+--,7,0.0034280117531831538
1.0,direct,-++,6,0.002938295788442703
1.0,direct,-+-,10,0.004897159647404506
1.0,direct,--+,13,0.006366307541625857
1.0,direct,---,1002,0.49069539666993145
1.3,all,+++,4596,0.3337933037983877
1.3,all,++-,628,0.04560970295591546
1.3,all,+-+,838,0.06086135521824388
1.3,all,+--,789,0.05730263635703391
1.3,all,-++,862,0.06260440119108142
1.3,all,-+-,791,0.057447890188103715
1.3,all,--+,644,0.04677173360447382
1.3,all,---,4621,0.3356089766867601
1.3,delayed,+++,1445,0.2475586774027754
1.3,delayed,++-,333,0.057049854377248584
1.3,delayed,+-+,572,0.09799554565701558
1.3,delayed,+--,578,0.09902347096111017
1.3,delayed,-++,633,0.10844611958197704
1.3,delayed,-+-,558,0.09559705328079493
1.3,delayed,--+,348,0.05961966763748501
1.3,delayed,---,1370,0.23470961110159327
1.3,direct,+++,2899,0.46773152629880604
1.3,direct,++-,82,0.013230074217489512
1.3,direct,+-+,35,0.0056469828977089385
1.3,direct,+--,31,0.0050016134236850595
1.3,direct,-++,34,0.005485640529202969
1.3,direct,-+-,36,0.005808325266214908
1.3,direct,--+,74,0.011939335269441756
1.3,direct,---,3007,0.4851565020974508
1.6,all,+++,6077,0.3271073312520185
1.6,all,++-,939,0.05054365378404565
1.6,all,+-+,1121,0.060340187318333516
1.6,all,+--,1132,0.060932285498977286
1.6,all,-++,1082,0.05824093013241469
1.6,all,-+-,1080,0.05813327591775218
1.6,all,--+,961,0.05172785014533319
1.6,all,---,6186,0.332974485951125
1.6,delayed,+++,1800,0.23809523809523808
1.6,delayed,++-,457,0.06044973544973545
1.6,delayed,+-+,769,0.10171957671957672
1.6,delayed,+--,747,0.0988095238095238
1.6,delayed,-++,729,0.09642857142857143
1.6,delayed,-+-,747,0.0988095238095238
1.6,delayed,--+,463,0.061243386243386246
1.6,delayed,---,1848,0.24444444444444444
1.6,direct,+++,3975,0.45175588135015343
1.6,direct,++-,204,0.023184452778724857
1.6,direct,+-+,85,0.009660188657802023
1.6,direct,+--,94,0.010683032162745767
1.6,direct,-++,98,0.011137629276054098
1.6,direct,-+-,90,0.010228435049437436
1.6,direct,--+,236,0.0268212296851915
1.6,direct,---,4017,0.4565291510398909
1.7,all,+++,1261,0.32558739994836045
1.7,all,++-,190,0.049057578104828296
1.7,all,+-+,258,0.06661502711076685
1.7,all,+--,234,0.060418280402788536
1.7,all,-++,276,0.07126258714175059
1.7,all,-+-,252,0.06506584043377227
1.7,all,--+,215,0.055512522592305706
1.7,all,---,1187,0.3064807642654273
1.7,delayed,+++,369,0.23048094940662087
1.7,delayed,++-,76,0.047470331043098064
1.7,delayed,+-+,171,0.10680824484697064
1.7,delayed,+--,152,0.09494066208619613
1.7,delayed,-++,192,0.11992504684572143
1.7,delayed,-+-,176,0.1099312929419113
1.7,delayed,--+,102,0.0637101811367895
1.7,delayed,---,363,0.22673329169269207
1.7,direct,+++,804,0.4743362831858407
1.7,direct,++-,43,0.02536873156342183
1.7,direct,+-+,13,0.007669616519174041
1.7,direct,+--,20,0.011799410029498525
1.7,direct,-++,20,0.011799410029498525
1.7,direct,-+-,22,0.012979351032448377
1.7,direct,--+,43,0.02536873156342183
1.7,direct,---,730,0.4306784660766962
